采集时间,环境湿度（%）,环境温度（℃）,设备启动数量（台）,供水温度（℃）,回水温度（℃）,瞬时流量（m3/h）,总制热量（GJ）,总耗电量（kW·h),机组耗电(kW·h）,热单耗（GJ/㎡）,电单耗(kW·h/m2）,系统COP,机组COP,除霜时间（s）,除霜次数,
2021-01-14 00时,35.02,2.81,5,41.35,38.13,33.59,0.45,46.8,43,0.01,1.08,2.67,2.91,,,
2021-01-14 01时,32.41,2.63,4,41.03,38.13,33.55,0.4,40.8,37,0.01,0.94,2.72,3,,,
2021-01-14 02时,32.99,2.43,4,40.71,37.84,33.11,0.23,25.2,22,0.01,0.58,2.54,2.9,,,
2021-01-14 03时,36.71,2.53,4,40.48,37.62,,,,,,,,,,,
2021-01-14 04时,40.8,2.43,4,40.3,37.46,,,,,,,,,,,
2021-01-14 05时,42.8,2.3,4,40.14,37.31,,,,,,,,,,,
2021-01-14 06时,42.81,2.14,4,39.98,37.18,,,,,,,,,,,
2021-01-14 07时,43.27,2.11,4,39.89,37.12,,,,,,,,,,,
2021-01-14 08时,42.12,3.17,2,41.28,35.65,,,,,,,,,,,
2021-01-14 09时,39.03,4.9,0,39.78,37.44,0.03,0,2.4,2,0,0.06,0,0,,,
2021-01-14 10时,33.19,8.4,1,35.19,33.24,29.15,0.2,9.6,6,0,0.22,5.79,9.26,,,
2021-01-14 11时,29.81,9.57,5,32.01,30,50.68,0.41,40.8,36,0.01,0.94,2.79,3.16,439,4,
2021-01-14 12时,31.18,9.35,8,37.13,33.79,50.9,0.69,73.2,68,0.02,1.69,2.62,2.82,105,1,
2021-01-14 13时,31.9,9.2,2,38.55,37.44,64.9,0.25,18,13,0.01,0.42,3.86,5.34,229,2,
2021-01-14 14时,35.41,8.16,3,34.2,32.95,68.24,0.15,28.8,25,0,0.66,1.45,1.67,,,
2021-01-14 15时,37.99,7.47,8,35.45,33.05,68.12,0.71,66,62,0.02,1.52,2.99,3.18,,,
2021-01-14 16时,39.7,6.72,9,39.97,36.88,67.01,0.69,81.6,78,0.02,1.88,2.35,2.46,,,
2021-01-14 17时,41.48,6.1,5,41.47,39.37,67.18,0.94,52.8,50,0.02,1.22,4.95,5.22,,,
2021-01-14 18时,38.83,6.39,3,39.25,37.94,67.21,0.37,31.2,28,0.01,0.72,3.29,3.67,,,
2021-01-14 19时,39.35,6.57,3,37.32,35.48,49.15,0.33,30,28,0.01,0.69,3.06,3.27,,,
2021-01-14 20时,39.16,7.28,5,37.63,34.93,48.1,0.55,46.8,44,0.01,1.08,3.26,3.47,,,
2021-01-14 21时,41.53,7.03,7,39.81,37.26,68.69,0.72,70.8,68,0.02,1.63,2.82,2.94,,,
2021-01-14 22时,45.49,5.57,5,40.7,38.9,68.55,0.51,46.8,43,0.01,1.08,3.03,3.29,,,
2021-01-14 23时,50.09,4.25,4,39.28,37.7,68.31,0.46,43.2,39,0.01,1,2.96,3.28,,,
2021-01-15 00时,53.29,3.48,6,39.67,37.59,68.05,0.59,58.8,55,0.01,1.36,2.79,2.98,,,
2021-01-15 01时,56.24,1.4,6,40.13,38.14,68.28,0.55,56.4,54,0.01,1.3,2.71,2.83,,,
2021-01-15 02时,54.49,1.97,6,39.98,38.07,68.3,0.54,57.6,53,0.01,1.33,2.6,2.83,485,2,
2021-01-15 03时,46.02,1.79,6,39.99,38.07,68.34,0.54,56.4,53,0.01,1.3,2.66,2.83,291,1,
2021-01-15 04时,36.65,2.35,6,40.08,38.08,68.21,0.55,57.6,54,0.01,1.33,2.65,2.83,,,
2021-01-15 05时,36.73,1.74,6,40.19,38.18,68.17,0.56,57.6,54,0.01,1.33,2.7,2.88,,,
2021-01-15 06时,40.83,0.49,6,40.22,38.2,68.2,0.56,61.2,57,0.01,1.41,2.54,2.73,,,
2021-01-15 07时,45.52,-0.17,7,40.53,38.28,68.02,0.63,67.2,63,0.01,1.55,2.6,2.78,,,
2021-01-15 08时,47.77,0.12,7,40.75,38.41,67.21,0.65,67.2,64,0.02,1.55,2.69,2.82,,,
2021-01-15 09时,44.7,0.93,7,40.12,37.68,66.65,0.67,67.2,63,0.02,1.55,2.77,2.95,,,
2021-01-15 10时,45.01,0.96,8,40.01,36.73,58.17,0.76,74.4,71,0.02,1.72,2.84,2.97,,,
2021-01-15 11时,46.92,0.6,8,40.31,36.24,44.35,0.74,73.2,71,0.02,1.69,2.81,2.9,285,1,
2021-01-15 12时,48.01,0.61,8,39.9,36.56,55.53,0.76,75.6,72,0.02,1.74,2.79,2.93,,,
2021-01-15 13时,45.8,-0.2,10,40.31,37.2,67.2,0.86,90,87,0.02,2.08,2.65,2.75,,,
2021-01-15 14时,45.99,-1.1,10,40.8,37.15,62.2,0.92,93.6,90,0.02,2.16,2.73,2.84,,,
2021-01-15 15时,51.03,-1.76,11,40.91,37.44,67.59,0.95,100.8,96,0.02,2.33,2.62,2.75,,,
2021-01-15 16时,55.77,-2.46,10,41.72,38.45,68.48,0.92,98.4,94,0.02,2.27,2.6,2.72,,,
2021-01-15 17时,70.52,-3.71,10,42.47,39.49,68.3,0.84,96,91,0.02,2.22,2.43,2.56,,,
2021-01-15 18时,82.71,-4.26,10,43.02,40.32,64.95,0.7,90,86,0.02,2.08,2.16,2.26,12119,9,
2021-01-15 19时,83.32,-5.72,11,42.69,39.92,68.86,0.84,103.2,98,0.02,2.38,2.26,2.38,1228,4,
2021-01-15 20时,64.95,-5.08,11,42.47,39.78,68.37,0.75,100.8,96,0.02,2.33,2.07,2.17,2470,7,
2021-01-15 21时,50.14,-4.96,9,43.97,40.32,54.38,0.79,91.2,87,0.02,2.1,2.41,2.52,,,
