Number,E,heat,time
HT100008,,,
HT100008,1.29,0.69,49983
HT100008,114.47,1361.49,48114
HT100008,0.36,-2.4,369
HT100008,1.91,18.89,953
HT100008,1.63,0.99,65101
HT100008,8,87.61,3238
HT100008,0.29,-3.65,344
HT100008,9.48,106.72,3870
HT100008,0.31,-3.75,345
HT100008,10.55,118.66,4283
HT100008,0.33,-5.04,364
HT100008,12.19,138.94,4891
HT100008,0.3,-3.49,342
HT100008,10.02,113.95,4071
HT100008,0.31,-4.04,343
HT100008,11.07,127.42,4525
HT100008,0.28,-3.72,302
HT100008,13.68,154.99,5494
HT100008,1.65,0.75,65342
HT100008,101.63,1149.07,41994
HT100008,0.32,-3.3,324
HT100008,14.37,149.66,5750
HT100008,0.41,-3.49,428
HT100008,2.48,22.28,1091
HT100008,0.72,1.09,26344
HT100008,8.88,99.39,3595
HT100008,0.32,-4.44,372
HT100008,9.16,102.65,3711
HT100008,0.3,-3.57,355
HT100008,7.05,80.2,2851
HT100008,0.32,-4.54,382
HT100008,8.67,97.84,3470
HT100008,0.33,-3.87,362
HT100008,7.96,92.11,3255
HT100008,0.32,-3.86,367
HT100008,7.11,80.68,2871
HT100008,0.3,-3.52,345
HT100008,6.35,71.01,2510
HT100008,0.3,-2.88,335
HT100008,6.48,71.06,2507
HT100008,0.33,-3.63,350
HT100008,7.13,77.23,2750
HT100008,0.3,-2.79,332
HT100008,6.54,70.65,2511
HT100008,0.3,-3.56,337
HT100008,7.5,80.43,2866
HT100008,0.3,-3.87,332
HT100008,7.39,79.37,2802
HT100008,0.3,-3.46,340
HT100008,8.57,91.24,3227
HT100008,0.31,-3.36,338
HT100008,8.47,90.62,3195
HT100008,0.31,-4.12,330
HT100008,7.9,84.96,2964
HT100008,0.35,-3.94,337
HT100008,7.64,82.67,2871
HT100008,0.3,-3.4,345
HT100008,8.24,90.14,3096
HT100008,0.35,-3.98,345
HT100008,8.39,92.2,3141
HT100008,0.33,-3.98,341
HT100008,8.71,94.87,3230
HT100008,0.31,-4.1,338
HT100008,9.71,105.43,3636
HT100008,0.36,-3.38,344
HT100008,9.51,102.12,3590
HT100008,0.36,-3.58,337
HT100008,8.02,86.93,3043
HT100008,0.37,-4.38,345
HT100008,8.53,94.68,3250
HT100008,0.4,-4.17,343
HT100008,8.41,99.58,3360
HT100008,0.44,-2.57,464
HT100008,3.63,41.4,1594
HT100008,0.22,0.61,9524
HT100008,0,0,10
HT100008,2.5,28.14,1091
HT100008,0.22,0.55,8340
HT100008,0,0,10
HT100008,1.89,19.27,851
HT100008,0.62,0,25139
HT100008,0.02,0.37,49
HT100008,12.59,146.36,5027
HT100008,0.37,-4.33,363
HT100008,18.54,216.92,7252
HT100008,0.33,-3.34,331
HT100008,9.31,107.63,3707
HT100008,0.4,-5.56,363
HT100008,6.72,76.36,2728
HT100008,0.55,0.12,22681
HT100008,0,0.83,10
HT100008,19.21,247.93,7670
HT100008,0.23,1.32,8465
HT100008,3.83,45.61,1555
HT100008,0.24,-3.35,285
HT100008,8.96,108.22,3554
HT100008,0.34,-4.32,382
HT100008,9.79,116.03,3951
HT100008,0.33,-3.92,374
HT100008,9.04,102.86,3591
HT100008,0.3,-4.41,341
HT100008,8.45,96.36,3422
