ÈÈ±Ã±àºÅ,¹¤×÷×´Ì¬,½áÊøµç±íÊý(kWh),½áÊøÈÈ±íÊý(MJ),ÓÃµçÁ¿(kWh),ÖÆÈÈÁ¿(MJ),ÔËÐÐÊ±¼ä
HT100008,ÖÆÈÈ×´Ì¬,,,,,
HT100008,´ý»ú×´Ì¬,12845.86,120779.13,1.29,0.69,49983
HT100008,ÖÆÈÈ×´Ì¬,12844.57,120778.44,114.47,1361.49,48114
HT100008,³ýËª×´Ì¬,12730.1,119416.95,0.36,-2.4,369
HT100008,ÖÆÈÈ×´Ì¬,12729.74,119419.35,1.91,18.89,953
HT100008,´ý»ú×´Ì¬,12727.83,119400.46,1.63,0.99,65101
HT100008,ÖÆÈÈ×´Ì¬,12726.2,119399.47,8,87.61,3238
HT100008,³ýËª×´Ì¬,12718.2,119311.86,0.29,-3.65,344
HT100008,ÖÆÈÈ×´Ì¬,12717.91,119315.51,9.48,106.72,3870
HT100008,³ýËª×´Ì¬,12708.43,119208.79,0.31,-3.75,345
HT100008,ÖÆÈÈ×´Ì¬,12708.12,119212.54,10.55,118.66,4283
HT100008,³ýËª×´Ì¬,12697.57,119093.88,0.33,-5.04,364
HT100008,ÖÆÈÈ×´Ì¬,12697.24,119098.92,12.19,138.94,4891
HT100008,³ýËª×´Ì¬,12685.05,118959.98,0.3,-3.49,342
HT100008,ÖÆÈÈ×´Ì¬,12684.75,118963.47,10.02,113.95,4071
HT100008,³ýËª×´Ì¬,12674.73,118849.52,0.31,-4.04,343
HT100008,ÖÆÈÈ×´Ì¬,12674.42,118853.56,11.07,127.42,4525
HT100008,³ýËª×´Ì¬,12663.35,118726.14,0.28,-3.72,302
HT100008,ÖÆÈÈ×´Ì¬,12663.07,118729.86,13.68,154.99,5494
HT100008,´ý»ú×´Ì¬,12649.39,118574.87,1.65,0.75,65342
HT100008,ÖÆÈÈ×´Ì¬,12647.74,118574.12,101.63,1149.07,41994
HT100008,³ýËª×´Ì¬,12546.11,117425.05,0.32,-3.3,324
HT100008,ÖÆÈÈ×´Ì¬,12545.79,117428.35,14.37,149.66,5750
HT100008,³ýËª×´Ì¬,12531.42,117278.69,0.41,-3.49,428
HT100008,ÖÆÈÈ×´Ì¬,12531.01,117282.18,2.48,22.28,1091
HT100008,´ý»ú×´Ì¬,12528.53,117259.9,0.72,1.09,26344
HT100008,ÖÆÈÈ×´Ì¬,12527.81,117258.81,8.88,99.39,3595
HT100008,³ýËª×´Ì¬,12518.93,117159.42,0.32,-4.44,372
HT100008,ÖÆÈÈ×´Ì¬,12518.61,117163.86,9.16,102.65,3711
HT100008,³ýËª×´Ì¬,12509.45,117061.21,0.3,-3.57,355
HT100008,ÖÆÈÈ×´Ì¬,12509.15,117064.78,7.05,80.2,2851
HT100008,³ýËª×´Ì¬,12502.1,116984.58,0.32,-4.54,382
HT100008,ÖÆÈÈ×´Ì¬,12501.78,116989.12,8.67,97.84,3470
HT100008,³ýËª×´Ì¬,12493.11,116891.28,0.33,-3.87,362
HT100008,ÖÆÈÈ×´Ì¬,12492.78,116895.15,7.96,92.11,3255
HT100008,³ýËª×´Ì¬,12484.82,116803.04,0.32,-3.86,367
HT100008,ÖÆÈÈ×´Ì¬,12484.5,116806.9,7.11,80.68,2871
HT100008,³ýËª×´Ì¬,12477.39,116726.22,0.3,-3.52,345
HT100008,ÖÆÈÈ×´Ì¬,12477.09,116729.74,6.35,71.01,2510
HT100008,³ýËª×´Ì¬,12470.74,116658.73,0.3,-2.88,335
HT100008,ÖÆÈÈ×´Ì¬,12470.44,116661.61,6.48,71.06,2507
HT100008,³ýËª×´Ì¬,12463.96,116590.55,0.33,-3.63,350
HT100008,ÖÆÈÈ×´Ì¬,12463.63,116594.18,7.13,77.23,2750
HT100008,³ýËª×´Ì¬,12456.5,116516.95,0.3,-2.79,332
HT100008,ÖÆÈÈ×´Ì¬,12456.2,116519.74,6.54,70.65,2511
HT100008,³ýËª×´Ì¬,12449.66,116449.09,0.3,-3.56,337
HT100008,ÖÆÈÈ×´Ì¬,12449.36,116452.65,7.5,80.43,2866
HT100008,³ýËª×´Ì¬,12441.86,116372.22,0.3,-3.87,332
HT100008,ÖÆÈÈ×´Ì¬,12441.56,116376.09,7.39,79.37,2802
HT100008,³ýËª×´Ì¬,12434.17,116296.72,0.3,-3.46,340
HT100008,ÖÆÈÈ×´Ì¬,12433.87,116300.18,8.57,91.24,3227
HT100008,³ýËª×´Ì¬,12425.3,116208.94,0.31,-3.36,338
HT100008,ÖÆÈÈ×´Ì¬,12424.99,116212.3,8.47,90.62,3195
HT100008,³ýËª×´Ì¬,12416.52,116121.68,0.31,-4.12,330
HT100008,ÖÆÈÈ×´Ì¬,12416.21,116125.8,7.9,84.96,2964
HT100008,³ýËª×´Ì¬,12408.31,116040.84,0.35,-3.94,337
HT100008,ÖÆÈÈ×´Ì¬,12407.96,116044.78,7.64,82.67,2871
HT100008,³ýËª×´Ì¬,12400.32,115962.11,0.3,-3.4,345
HT100008,ÖÆÈÈ×´Ì¬,12400.02,115965.51,8.24,90.14,3096
HT100008,³ýËª×´Ì¬,12391.78,115875.37,0.35,-3.98,345
HT100008,ÖÆÈÈ×´Ì¬,12391.43,115879.35,8.39,92.2,3141
HT100008,³ýËª×´Ì¬,12383.04,115787.15,0.33,-3.98,341
HT100008,ÖÆÈÈ×´Ì¬,12382.71,115791.13,8.71,94.87,3230
HT100008,³ýËª×´Ì¬,12374,115696.26,0.31,-4.1,338
HT100008,ÖÆÈÈ×´Ì¬,12373.69,115700.36,9.71,105.43,3636
HT100008,³ýËª×´Ì¬,12363.98,115594.93,0.36,-3.38,344
HT100008,ÖÆÈÈ×´Ì¬,12363.62,115598.31,9.51,102.12,3590
HT100008,³ýËª×´Ì¬,12354.11,115496.19,0.36,-3.58,337
HT100008,ÖÆÈÈ×´Ì¬,12353.75,115499.77,8.02,86.93,3043
HT100008,³ýËª×´Ì¬,12345.73,115412.84,0.37,-4.38,345
HT100008,ÖÆÈÈ×´Ì¬,12345.36,115417.22,8.53,94.68,3250
HT100008,³ýËª×´Ì¬,12336.83,115322.54,0.4,-4.17,343
HT100008,ÖÆÈÈ×´Ì¬,12336.43,115326.71,8.41,99.58,3360
HT100008,³ýËª×´Ì¬,12328.02,115227.13,0.44,-2.57,464
HT100008,ÖÆÈÈ×´Ì¬,12327.58,115229.7,3.63,41.4,1594
HT100008,´ý»ú×´Ì¬,12323.95,115188.3,0.22,0.61,9524
HT100008,³ýËª×´Ì¬,12323.73,115187.69,0,0,10
HT100008,ÖÆÈÈ×´Ì¬,12323.73,115187.69,2.5,28.14,1091
HT100008,´ý»ú×´Ì¬,12321.23,115159.55,0.22,0.55,8340
HT100008,³ýËª×´Ì¬,12321.01,115159,0,0,10
HT100008,ÖÆÈÈ×´Ì¬,12321.01,115159,1.89,19.27,851
HT100008,´ý»ú×´Ì¬,12319.12,115139.73,0.62,0,25139
HT100008,³ýËª×´Ì¬,12318.5,115139.73,0.02,0.37,49
HT100008,ÖÆÈÈ×´Ì¬,12318.48,115139.36,12.59,146.36,5027
HT100008,³ýËª×´Ì¬,12305.89,114993,0.37,-4.33,363
HT100008,ÖÆÈÈ×´Ì¬,12305.52,114997.33,18.54,216.92,7252
HT100008,³ýËª×´Ì¬,12286.98,114780.41,0.33,-3.34,331
HT100008,ÖÆÈÈ×´Ì¬,12286.65,114783.75,9.31,107.63,3707
HT100008,³ýËª×´Ì¬,12277.34,114676.12,0.4,-5.56,363
HT100008,ÖÆÈÈ×´Ì¬,12276.94,114681.68,6.72,76.36,2728
HT100008,´ý»ú×´Ì¬,12270.22,114605.32,0.55,0.12,22681
HT100008,³ýËª×´Ì¬,12269.67,114605.2,0,0.83,10
HT100008,ÖÆÈÈ×´Ì¬,12269.67,114604.37,19.21,247.93,7670
HT100008,´ý»ú×´Ì¬,12250.46,114356.44,0.23,1.32,8465
HT100008,ÖÆÈÈ×´Ì¬,12250.23,114355.12,3.83,45.61,1555
HT100008,³ýËª×´Ì¬,12246.4,114309.51,0.24,-3.35,285
HT100008,ÖÆÈÈ×´Ì¬,12246.16,114312.86,8.96,108.22,3554
HT100008,³ýËª×´Ì¬,12237.2,114204.64,0.34,-4.32,382
HT100008,ÖÆÈÈ×´Ì¬,12236.86,114208.96,9.79,116.03,3951
HT100008,³ýËª×´Ì¬,12227.07,114092.93,0.33,-3.92,374
HT100008,ÖÆÈÈ×´Ì¬,12226.74,114096.85,9.04,102.86,3591
HT100008,³ýËª×´Ì¬,12217.7,113993.99,0.3,-4.41,341
HT100008,ÖÆÈÈ×´Ì¬,12217.4,113998.4,8.45,96.36,3422
HT100008,³ýËª×´Ì¬,12208.95,113902.04,0.35,-4.33,344
